time,open,high,low,close,Volume
1214859600,1.57349,1.58289,1.57234,1.58071,NaN
1214946000,1.58073,1.58875,1.57766,1.58649,NaN
1215032400,1.58614,1.59109,1.56813,1.56949,NaN
1215118800,1.56972,1.5728,1.56549,1.56977,NaN
1215374400,1.56964,1.5719,1.56108,1.57178,NaN
1215464400,1.57178,1.57549,1.56371,1.56535,NaN
1215550800,1.56541,1.57498,1.56402,1.57272,NaN
1215637200,1.57283,1.58007,1.56905,1.57769,NaN
1215723600,1.57755,1.59419,1.57668,1.58937,NaN
1215979200,1.59486,1.59708,1.58421,1.59274,NaN
1216069200,1.59251,1.60368,1.58838,1.59142,NaN
1216155600,1.59174,1.59473,1.58178,1.58325,NaN
1216242000,1.58331,1.58956,1.57994,1.58605,NaN
1216328400,1.58627,1.58862,1.57813,1.58488,NaN
1216584000,1.58525,1.59073,1.58303,1.58779,NaN
1216674000,1.58755,1.59423,1.57576,1.57829,NaN
1216760400,1.57834,1.57992,1.56845,1.57067,NaN
1216846800,1.57062,1.57139,1.56409,1.56492,NaN
1216933200,1.56506,1.57541,1.56301,1.57026,NaN
1217188800,1.57124,1.57693,1.56864,1.57533,NaN
1217278800,1.57557,1.57573,1.55693,1.5583,NaN
1217365200,1.5581,1.56164,1.55211,1.55742,NaN
1217451600,1.55742,1.56991,1.55627,1.55924,NaN
1217538000,1.55924,1.56036,1.55154,1.5564,NaN
1217793600,1.55627,1.56302,1.55542,1.55837,NaN
1217883600,1.55797,1.55902,1.54586,1.54667,NaN
1217970000,1.54674,1.5515,1.54007,1.54287,NaN
1218056400,1.54298,1.55044,1.53152,1.53245,NaN
1218142800,1.53243,1.53367,1.50061,1.50433,NaN
1218398400,1.49942,1.50857,1.4912,1.49412,NaN
1218488400,1.49396,1.49642,1.48161,1.48873,NaN
1218574800,1.48896,1.49797,1.48416,1.49177,NaN
1218661200,1.49197,1.49498,1.47774,1.48039,NaN
1218747600,1.4801,1.4827,1.46641,1.46778,NaN
1219003200,1.46906,1.47686,1.46494,1.47362,NaN
1219093200,1.47338,1.47933,1.46322,1.47836,NaN
1219179600,1.47811,1.48073,1.46715,1.46919,NaN
1219266000,1.46902,1.48955,1.46813,1.48699,NaN
1219352400,1.48672,1.491,1.47829,1.4807,NaN
1219608000,1.47957,1.48085,1.46952,1.47787,NaN
1219698000,1.47792,1.47792,1.45707,1.46336,NaN
1219784400,1.46313,1.47747,1.46182,1.46807,NaN
1219870800,1.46777,1.481,1.46763,1.47045,NaN
1219957200,1.47049,1.4769,1.46396,1.46408,NaN
1220212800,1.46816,1.47301,1.4583,1.45938,NaN
1220302800,1.45927,1.4617,1.44684,1.4528,NaN
